id,created_at,retweet_count,favorite_count,deleted,time_downloaded
1141227619813384192,2019-06-19 06:14:02.000000,24.0,0.0,0,2019-07-12 12:24
1141254304097034240,2019-06-19 08:00:04.000000,,,1,2019-07-12 12:24
1141266725322625025,2019-06-19 08:49:25.000000,1.0,0.0,0,2019-07-12 12:24
1141272391273865217,2019-06-19 09:11:56.000000,0.0,0.0,0,2019-07-12 12:24
1141292165311672320,2019-06-19 10:30:31.000000,1.0,10.0,0,2019-07-12 12:24
1141310962647076866,2019-06-19 11:45:12.000000,1.0,0.0,0,2019-07-12 12:24
1141314031757811712,2019-06-19 11:57:24.000000,2.0,0.0,0,2019-07-12 12:24
1141314866537541632,2019-06-19 12:00:43.000000,3.0,0.0,0,2019-07-12 12:24
1141315694837010432,2019-06-19 12:04:00.000000,3.0,0.0,0,2019-07-12 12:24
1141315884490866688,2019-06-19 12:04:46.000000,3.0,0.0,0,2019-07-12 12:24
1141315928333967360,2019-06-19 12:04:56.000000,2.0,0.0,0,2019-07-12 12:24
1141318623241351168,2019-06-19 12:15:39.000000,2.0,0.0,0,2019-07-12 12:24
1141322603681996800,2019-06-19 12:31:28.000000,24.0,0.0,0,2019-07-12 12:24
1141336077946499072,2019-06-19 13:25:00.000000,,,1,2019-07-12 12:24
1141337750156787712,2019-06-19 13:31:39.000000,3.0,0.0,0,2019-07-12 12:24
1141338672626749441,2019-06-19 13:35:19.000000,0.0,2.0,0,2019-07-12 12:24
1141348592399069184,2019-06-19 14:14:44.000000,1.0,0.0,0,2019-07-12 12:24
1141350906778333185,2019-06-19 14:23:56.000000,0.0,5.0,0,2019-07-12 12:24
1141356873574223872,2019-06-19 14:47:38.000000,2.0,0.0,0,2019-07-12 12:24
1141358928799903744,2019-06-19 14:55:48.000000,0.0,2.0,0,2019-07-12 12:24
1141366202759094272,2019-06-19 15:24:42.000000,1.0,0.0,0,2019-07-12 12:24
1141372234381979648,2019-06-19 15:48:41.000000,2.0,0.0,0,2019-07-12 12:24
1141377149149929473,2019-06-19 16:08:12.000000,2.0,0.0,0,2019-07-12 12:24
1141377305844961281,2019-06-19 16:08:50.000000,2.0,0.0,0,2019-07-12 12:24
1141387257217277952,2019-06-19 16:48:22.000000,1.0,3.0,0,2019-07-12 12:24
1141390264377970689,2019-06-19 17:00:19.000000,0.0,4.0,0,2019-07-12 12:24
1141397356031729667,2019-06-19 17:28:30.000000,0.0,1.0,0,2019-07-12 12:24
1141401408979292166,2019-06-19 17:44:36.000000,0.0,0.0,0,2019-07-12 12:24
1141402246992814082,2019-06-19 17:47:56.000000,0.0,0.0,0,2019-07-12 12:24
1141410344331554816,2019-06-19 18:20:07.000000,1.0,1.0,0,2019-07-12 12:24
1141410748410843136,2019-06-19 18:21:43.000000,4.0,14.0,0,2019-07-12 12:24
1141410916698865665,2019-06-19 18:22:23.000000,4.0,0.0,0,2019-07-12 12:24
1141416132987039746,2019-06-19 18:43:07.000000,4.0,0.0,0,2019-07-12 12:24
1141423981611765760,2019-06-19 19:14:18.000000,0.0,0.0,0,2019-07-12 12:24
1141440498353283074,2019-06-19 20:19:56.000000,1.0,6.0,0,2019-07-12 12:24
1141441623466729472,2019-06-19 20:24:24.000000,1.0,2.0,0,2019-07-12 12:24
1141447900548874240,2019-06-19 20:49:21.000000,0.0,0.0,0,2019-07-12 12:24
1141449014556184576,2019-06-19 20:53:46.000000,1.0,0.0,0,2019-07-12 12:24
1141453952241848320,2019-06-19 21:13:24.000000,2.0,15.0,0,2019-07-12 12:24
1141456272472125440,2019-06-19 21:22:37.000000,1.0,0.0,0,2019-07-12 12:24
1141458957850075137,2019-06-19 21:33:17.000000,,,1,2019-07-12 12:24
1141460999670816768,2019-06-19 21:41:24.000000,0.0,1.0,0,2019-07-12 12:24
1141461614174048259,2019-06-19 21:43:50.000000,2.0,0.0,0,2019-07-12 12:24
1141461964033581056,2019-06-19 21:45:14.000000,1.0,16.0,0,2019-07-12 12:24
1141470079609167872,2019-06-19 22:17:29.000000,1.0,7.0,0,2019-07-12 12:24
1141472499286364161,2019-06-19 22:27:06.000000,1.0,0.0,0,2019-07-12 12:24
1141484913658597381,2019-06-19 23:16:25.000000,0.0,10.0,0,2019-07-12 12:24
1141490737093185537,2019-06-19 23:39:34.000000,0.0,3.0,0,2019-07-12 12:24
1141493928815931399,2019-06-19 23:52:15.000000,18.0,0.0,0,2019-07-12 12:24
1141497281058955264,2019-06-20 00:05:34.000000,,,1,2019-07-12 12:24
1141498179415920642,2019-06-20 00:09:08.000000,,,1,2019-07-12 12:24
1141501843979284480,2019-06-20 00:23:42.000000,,,1,2019-07-12 12:24
1141502214491516929,2019-06-20 00:25:10.000000,,,1,2019-07-12 12:24
1141502610245062657,2019-06-20 00:26:45.000000,1.0,0.0,0,2019-07-12 12:24
1141503329094123520,2019-06-20 00:29:36.000000,1.0,2.0,0,2019-07-12 12:24
1141505553438531585,2019-06-20 00:38:26.000000,,,1,2019-07-12 12:24
1141508497630224385,2019-06-20 00:50:08.000000,,,1,2019-07-12 12:24
1141509409283158016,2019-06-20 00:53:46.000000,,,1,2019-07-12 12:24
