year,month,state,frequency,sentiment
2016,4,GA,0.0,
2016,5,GA,0.0,
2016,6,GA,0.0,
2016,7,GA,0.0,
2016,8,GA,0.0,
2016,9,GA,0.0,
2016,10,GA,0.0,
2016,11,GA,0.0,
2016,12,GA,0.0,
2017,1,GA,0.0,
2017,2,GA,0.0,
2017,3,GA,0.0,
2017,4,GA,0.0,
2017,5,GA,0.0,
2017,6,GA,0.0,
2017,7,GA,22.0,0.00227272727272727
2017,8,GA,19.0,0.0278309409888357
2017,9,GA,33.0,0.0159090909090909
2017,10,GA,38.0,-0.0436472454811271
2017,11,GA,13.0,0.0370529412716913
2017,12,GA,17.0,-0.066764705882353
2018,1,GA,26.0,-0.027603021978022
2018,2,GA,17.0,-0.0520833333333333
2018,3,GA,22.0,0.128722319347319
2018,4,GA,56.0,-0.105238546176046
2018,5,GA,25.0,-0.0398333333333333
2018,6,GA,37.0,0.0188416257166257
2018,7,GA,20.0,-0.0737251984126984
2018,8,GA,16.0,0.0378531125992064
2018,9,GA,23.0,-0.0315320910973085
2018,10,GA,11.0,0.0592148760330579
2018,11,GA,0.0,
2018,12,GA,0.0,
2019,1,GA,0.0,
2019,2,GA,0.0,
2019,3,GA,0.0,
2019,4,GA,0.0,
2019,5,GA,0.0,
2019,6,GA,8.0,-0.0567584325396825
2019,7,GA,6.0,-0.0456128747795414
